registration_id,event_name,event_type,event_format,registration_date,event_date,channel_source,job_title,industry,company_size,attendance_status,sessions_registered,sessions_attended,engagement_score,survey_completed,acquisition_cost
1,Tech Summit 2024,Flagship,In-Person,2024-02-14,2024-03-15,LinkedIn Ad,Program Manager,Finance,5000+,Attended,7,2,7,No,44.1
2,Tech Summit 2024,Flagship,In-Person,2024-01-25,2024-03-15,LinkedIn Ad,Business Analyst,Education,1-50,Attended,4,4,8,Yes,33.55
3,Tech Summit 2024,Flagship,In-Person,2024-03-10,2024-03-15,Email Campaign,Solutions Architect,Manufacturing,51-200,No-Show,1,0,2,No,5.66
4,Tech Summit 2024,Flagship,In-Person,2024-02-14,2024-03-15,Google Search,VP Marketing,Education,5000+,No-Show,2,0,1,No,33.05
5,Tech Summit 2024,Flagship,In-Person,2024-01-21,2024-03-15,Email Campaign,IT Director,Healthcare,1-50,Attended,4,1,7,Yes,7.92
6,Tech Summit 2024,Flagship,In-Person,2024-02-01,2024-03-15,Google Search,IT Director,Technology,201-1000,Attended,9,8,5,Yes,26.72
7,Tech Summit 2024,Flagship,In-Person,2024-02-29,2024-03-15,Email Campaign,Business Analyst,Education,201-1000,No-Show,7,0,1,No,3.21
8,Tech Summit 2024,Flagship,In-Person,2024-03-01,2024-03-15,Email Campaign,Data Engineer,Media,1001-5000,Attended,2,2,4,No,5.8
9,Tech Summit 2024,Flagship,In-Person,2024-02-10,2024-03-15,LinkedIn Ad,Data Analyst,Manufacturing,1-50,Attended,4,1,1,Yes,25.13
10,Tech Summit 2024,Flagship,In-Person,2024-03-02,2024-03-15,Email Campaign,Marketing Manager,Education,1001-5000,Attended,5,1,7,No,3.6
11,Tech Summit 2024,Flagship,In-Person,2024-03-08,2024-03-15,LinkedIn Ad,IT Director,Retail,1001-5000,Attended,3,1,4,No,31.07
12,Tech Summit 2024,Flagship,In-Person,2024-02-24,2024-03-15,Direct/Website,Business Analyst,Media,51-200,Attended,8,7,9,Yes,0.28
13,Tech Summit 2024,Flagship,In-Person,2024-02-27,2024-03-15,Email Campaign,IT Director,Retail,1-50,No-Show,1,0,1,No,7.38
14,Tech Summit 2024,Flagship,In-Person,2024-03-03,2024-03-15,Google Search,Solutions Architect,Healthcare,5000+,No-Show,6,0,1,No,26.59
15,Tech Summit 2024,Flagship,In-Person,2024-02-10,2024-03-15,Email Campaign,IT Director,Manufacturing,201-1000,Attended,8,8,8,Yes,5.26
16,Tech Summit 2024,Flagship,In-Person,2024-02-22,2024-03-15,LinkedIn Ad,Product Manager,Manufacturing,201-1000,Attended,5,4,8,No,15.73
17,Tech Summit 2024,Flagship,In-Person,2024-02-06,2024-03-15,Direct/Website,VP Marketing,Finance,51-200,No-Show,3,0,1,No,0.79
18,Tech Summit 2024,Flagship,In-Person,2024-02-01,2024-03-15,Email Campaign,Program Manager,Finance,1-50,No-Show,1,0,1,No,6.21
19,Tech Summit 2024,Flagship,In-Person,2024-02-23,2024-03-15,Google Search,Data Analyst,Retail,51-200,Attended,3,3,6,Yes,13.88
20,Tech Summit 2024,Flagship,In-Person,2024-01-20,2024-03-15,Social Media,Data Engineer,Manufacturing,201-1000,Attended,5,4,5,No,10.26
21,Tech Summit 2024,Flagship,In-Person,2024-02-24,2024-03-15,Social Media,Business Analyst,Media,5000+,Attended,5,1,5,No,23.89
22,Tech Summit 2024,Flagship,In-Person,2024-01-19,2024-03-15,Google Search,Data Engineer,Education,1001-5000,Attended,5,1,6,Yes,17.79
23,Tech Summit 2024,Flagship,In-Person,2024-02-13,2024-03-15,Email Campaign,Software Developer,Media,51-200,Cancelled,5,0,0,No,7.32
24,Tech Summit 2024,Flagship,In-Person,2024-02-11,2024-03-15,Email Campaign,Program Manager,Media,51-200,No-Show,3,0,1,No,5.27
25,Tech Summit 2024,Flagship,In-Person,2024-01-24,2024-03-15,Email Campaign,CTO,Retail,51-200,Attended,2,1,10,Yes,2.71
26,Tech Summit 2024,Flagship,In-Person,2024-02-19,2024-03-15,LinkedIn Ad,Data Analyst,Technology,1001-5000,No-Show,2,0,1,No,31.86
27,Tech Summit 2024,Flagship,In-Person,2024-02-21,2024-03-15,Social Media,Product Manager,Education,201-1000,Attended,4,1,3,No,17.75
28,Tech Summit 2024,Flagship,In-Person,2024-01-22,2024-03-15,Google Search,Data Engineer,Finance,1001-5000,Attended,9,7,6,Yes,32.19
29,Tech Summit 2024,Flagship,In-Person,2024-02-05,2024-03-15,Social Media,Software Developer,Technology,1-50,Attended,1,1,4,No,14.36
30,Tech Summit 2024,Flagship,In-Person,2024-02-07,2024-03-15,Google Search,Business Analyst,Technology,201-1000,Attended,6,3,4,Yes,24.29
31,Tech Summit 2024,Flagship,In-Person,2024-01-17,2024-03-15,Google Search,IT Director,Healthcare,1001-5000,Attended,5,2,4,Yes,32.28
32,Tech Summit 2024,Flagship,In-Person,2024-01-27,2024-03-15,Email Campaign,VP Marketing,Finance,1001-5000,Attended,1,1,8,No,2.27
33,Tech Summit 2024,Flagship,In-Person,2024-03-06,2024-03-15,Google Search,IT Director,Education,51-200,Attended,5,1,10,Yes,16.99
34,Tech Summit 2024,Flagship,In-Person,2024-03-09,2024-03-15,LinkedIn Ad,CTO,Manufacturing,201-1000,No-Show,2,0,1,No,38.33
35,Tech Summit 2024,Flagship,In-Person,2024-03-01,2024-03-15,Social Media,Business Analyst,Education,5000+,Cancelled,1,0,0,No,20.75
36,Tech Summit 2024,Flagship,In-Person,2024-03-04,2024-03-15,Referral,Data Engineer,Finance,51-200,Attended,1,1,6,No,0.34
37,Tech Summit 2024,Flagship,In-Person,2024-03-11,2024-03-15,LinkedIn Ad,Solutions Architect,Finance,51-200,Attended,5,3,4,Yes,33.61
38,Tech Summit 2024,Flagship,In-Person,2024-02-28,2024-03-15,Google Search,VP Marketing,Technology,51-200,Attended,1,1,5,No,25.55
39,Tech Summit 2024,Flagship,In-Person,2024-02-23,2024-03-15,Direct/Website,Software Developer,Technology,201-1000,Attended,2,1,7,Yes,0.8
40,Tech Summit 2024,Flagship,In-Person,2024-02-16,2024-03-15,Social Media,CTO,Retail,51-200,No-Show,3,0,1,No,9.51
41,Tech Summit 2024,Flagship,In-Person,2024-01-25,2024-03-15,Social Media,Software Developer,Media,51-200,Attended,2,1,10,No,9.44
42,Tech Summit 2024,Flagship,In-Person,2024-02-29,2024-03-15,Direct/Website,CTO,Media,5000+,Attended,8,3,6,No,0.21
43,Tech Summit 2024,Flagship,In-Person,2024-02-04,2024-03-15,Email Campaign,VP Marketing,Technology,1001-5000,Attended,6,4,5,No,4.13
44,Tech Summit 2024,Flagship,In-Person,2024-02-02,2024-03-15,Email Campaign,Digital Marketing Specialist,Manufacturing,1-50,Attended,3,3,4,No,5.63
45,Tech Summit 2024,Flagship,In-Person,2024-01-23,2024-03-15,Email Campaign,Data Engineer,Healthcare,5000+,Attended,6,2,8,Yes,7.85
46,Tech Summit 2024,Flagship,In-Person,2024-03-08,2024-03-15,Direct/Website,Software Developer,Education,201-1000,No-Show,1,0,1,No,1.54
47,Tech Summit 2024,Flagship,In-Person,2024-03-08,2024-03-15,Google Search,Data Analyst,Education,1001-5000,Attended,10,2,8,Yes,24.89
48,Tech Summit 2024,Flagship,In-Person,2024-02-29,2024-03-15,Referral,Product Manager,Manufacturing,1001-5000,No-Show,4,0,1,No,2.48
49,Tech Summit 2024,Flagship,In-Person,2024-02-22,2024-03-15,Email Campaign,Data Analyst,Technology,1-50,Attended,10,4,8,No,4.71
50,Tech Summit 2024,Flagship,In-Person,2024-01-19,2024-03-15,Social Media,Business Analyst,Healthcare,1001-5000,Attended,7,3,3,Yes,22.94
51,Tech Summit 2024,Flagship,In-Person,2024-01-17,2024-03-15,Referral,VP Marketing,Media,5000+,Attended,1,1,6,No,0.38
52,Tech Summit 2024,Flagship,In-Person,2024-02-14,2024-03-15,Google Search,Solutions Architect,Media,51-200,Attended,3,3,5,No,24.98
53,Tech Summit 2024,Flagship,In-Person,2024-03-02,2024-03-15,Referral,Data Analyst,Retail,51-200,No-Show,1,0,2,No,1.95
54,Tech Summit 2024,Flagship,In-Person,2024-01-23,2024-03-15,Email Campaign,VP Marketing,Media,5000+,Attended,7,1,4,Yes,7.91
55,Tech Summit 2024,Flagship,In-Person,2024-01-21,2024-03-15,LinkedIn Ad,IT Director,Manufacturing,1-50,Attended,9,3,8,No,25.41
56,Tech Summit 2024,Flagship,In-Person,2024-03-08,2024-03-15,LinkedIn Ad,VP Marketing,Technology,1-50,Attended,6,2,1,Yes,20.34
57,Tech Summit 2024,Flagship,In-Person,2024-02-13,2024-03-15,Email Campaign,Software Developer,Technology,5000+,Attended,6,6,10,Yes,6.65
58,Tech Summit 2024,Flagship,In-Person,2024-03-11,2024-03-15,Email Campaign,Business Analyst,Healthcare,5000+,Attended,2,2,4,No,7.87
59,Tech Summit 2024,Flagship,In-Person,2024-01-17,2024-03-15,Google Search,Product Manager,Manufacturing,51-200,No-Show,4,0,1,No,31.39
60,Tech Summit 2024,Flagship,In-Person,2024-03-07,2024-03-15,Email Campaign,Program Manager,Retail,5000+,Attended,3,1,6,Yes,7.36
